id,admin0,admin1,admin2,admin3,date,cases,movement_fb,non_moving_fb,mean_pop,sum_pop,o65_sum_pop,o65_perc_pop,long,lat,mean_city,mean_motor,mean_walk,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
ECC0405,Ecuador,Carchi,Montufar,,2020-03-30,0.0,,,73.88516344,33174.43839,3881.6542700000014,0.11700738,-77.81526161,0.567122695,91.54666667,55.60966946,100.4666667,93.52,72.66,75.89,50.0
ECC0406,Ecuador,Carchi,San Pedro De Huaca,,2020-03-30,0.0,,,99.42841203,8451.415023,862.1802127000002,0.10201608,-77.7143888,0.612794684,38.85882353,16.72535018,46.70588235,93.52,72.66,75.89,50.0
ECD2201,Ecuador,Orellana,Orellana,,2020-03-30,0.0,,,14.59933326,120473.698,4050.627218,0.033622503,-76.77258036,-0.654333124,296.8894277,205.0305516,630.639064,93.52,72.66,75.89,50.0
ECD2202,Ecuador,Orellana,Aguarico,,2020-03-30,0.0,,,0.614316022,8015.595452,442.5049702,0.055205502,-75.8821888,-0.949666731,1160.704141,706.4361711,1327.019555,93.52,72.66,75.89,50.0
ECD2203,Ecuador,Orellana,La Joya De Los Sachas,,2020-03-30,0.0,,,44.68887210000001,62743.17642999999,3592.933147,0.05726412700000001,-76.89148859999997,-0.280089967,72.22869318,44.58947651,239.8352273,93.52,72.66,75.89,50.0
ECD2204,Ecuador,Orellana,Loreto,,2020-03-30,0.0,,,14.04593879,35255.30637,1418.514552,0.04023549,-77.35251829,-0.643543534,196.8738019,204.2220897,784.6505591,93.52,72.66,75.89,50.0
ECE0801,Ecuador,Esmeraldas,Esmeraldas,,2020-03-30,0.0,,,144.8988496,227346.295,15206.84749,0.066888474,-79.62575932,0.794979095,91.05751634,74.2137807,271.39869280000005,93.52,72.66,75.89,50.0
ECE0802,Ecuador,Esmeraldas,Eloy Alfaro,,2020-03-30,0.0,,,9.714879806,48593.82879,3066.263972,0.063099861,-78.95054379,0.730194109,663.6209709999998,421.9436974,766.3237454,93.52,72.66,75.89,50.0
ECE0803,Ecuador,Esmeraldas,Muisne,,2020-03-30,0.0,,,23.43994448,33776.96,2444.272475,0.072365083,-79.9208559,0.47957047,128.3017544,84.03674151,330.3136841999999,93.52,72.66,75.89,50.0
ECE0804,Ecuador,Esmeraldas,Quininde,,2020-03-30,0.0,,,34.20776102,155166.404,9025.19587,0.058164626,-79.43892912,0.362069438,190.1377788,110.0334864,334.42283060000005,93.52,72.66,75.89,50.0
ECE0805,Ecuador,Esmeraldas,San Lorenzo,,2020-03-30,0.0,,,14.99650179,52907.65831,2870.763689,0.054259889000000006,-78.67609247,0.986996613,291.3882014,212.078016,575.7752518,93.52,72.66,75.89,50.0
ECE0806,Ecuador,Esmeraldas,Atacames,,2020-03-30,0.0,,,81.05676631,47985.60566,2787.402871,0.058088314,-79.85939036,0.78804561,41.44007156,21.86970411,104.0447227,93.52,72.66,75.89,50.0
ECE0807,Ecuador,Esmeraldas,Rioverde,,2020-03-30,0.0,,,18.12142925,31875.594060000003,2323.094518,0.07288003700000001,-79.34059503,0.852739406,280.8581355,148.0769784,368.9797336,93.52,72.66,75.89,50.0
ECF0301,Ecuador,Canar,Azogues,,2020-03-30,0.0,,,107.1149312,76694.29074,8954.346602,0.11675376,-78.74663157,-2.626490062,77.31328671,56.40114439,232.95524480000003,93.52,72.66,75.89,50.0
ECF0302,Ecuador,Canar,Biblian,,2020-03-30,0.0,,,84.81482399,22645.55801,3206.376971,0.14158967,-78.98091571,-2.658509739,58.36802974,26.42048797,126.1189591,93.52,72.66,75.89,50.0
ECF0303,Ecuador,Canar,Canar,,2020-03-30,0.0,,,32.06827851,74173.9282,7391.612753,0.099652439,-79.06869594,-2.581554587,125.5073657,61.53878356,233.2525997,93.52,72.66,75.89,50.0
ECF0304,Ecuador,Canar,La Troncal,,2020-03-30,0.0,,,160.3643261,59976.25797000001,3993.6660130000014,0.066587448,-79.38192198,-2.448590511,58.60427807,18.64571031,101.4491979,93.52,72.66,75.89,50.0
ECF0305,Ecuador,Canar,El Tambo,,2020-03-30,2.0,,,134.9542309,10391.47578,968.3583004,0.093187757,-78.92192923,-2.504105982,40.19230769,9.689575289,52.66666667,93.52,72.66,75.89,50.0
ECF0306,Ecuador,Canar,Deleg,,2020-03-30,0.0,,,77.68653252,7069.4744599999985,1576.95985,0.22306606,-78.93941236,-2.762895412,28.33333333,16.30682063,54.23333333,93.52,72.66,75.89,50.0
ECF0307,Ecuador,Canar,Suscal,,2020-03-30,0.0,,,97.18269164,5345.04804,542.5236462,0.10150024,-79.06685317,-2.464231815,48.03571429,22.61205305,217.6071429,93.52,72.66,75.89,50.0
