id,admin0,admin1,admin2,admin3,date,cases,movement_fb,non_moving_fb,mean_pop,sum_pop,o65_sum_pop,o65_perc_pop,long,lat,mean_city,mean_motor,mean_walk,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
CLBI23,Chile,Biobio,Penco,,2020-07-19,2.0,,,377.5410767,60406.57031,6387.59375,0.10574336,-72.94421387,-36.74782562,11.59006214,7.973285675,65.77018738,84.72,76.82,77.08,75.0
CLBI24,Chile,Biobio,Quilaco,,2020-07-19,0.0,,,2.145477533,3550.765137,633.6577758999998,0.17845668,-71.70475006,-37.96099854,189.2967377,104.0786057,376.5729675,84.72,76.82,77.08,75.0
CLBI25,Chile,Biobio,Quilleco,,2020-07-19,0.0,,,6.379951954,10469.50098,1752.854736,0.16742486,-71.86138153,-37.4367981,100.9250488,57.75403214,241.3315125,84.72,76.82,77.08,75.0
CLBI26,Chile,Biobio,San Pedro de la Paz,,2020-07-19,0.0,,,723.8239136,122326.2422,11575.75781,0.094630212,-73.09780884,-36.87998581,6.86390543,5.8094429970000006,34.65088654,84.72,76.82,77.08,75.0
CLBI27,Chile,Biobio,San Rosendo,,2020-07-19,0.0,,,24.09670258,3349.44165,468.19155880000005,0.13978197,-72.72085571,-37.21304703,43.79561996,10.88816643,65.26277161,84.72,76.82,77.08,75.0
CLBI28,Chile,Biobio,Santa Barbara,,2020-07-19,0.0,,,10.48601151,19315.23438,2985.737549,0.15457942,-71.74919128,-37.6212883,157.0889435,98.28044891,330.7017212,84.72,76.82,77.08,75.0
CLBI29,Chile,Biobio,Santa Juana,,2020-07-19,0.0,,,12.62997532,14284.50195,2395.918457,0.16772853,-72.95999146,-37.27608871,47.94439697,22.8371315,127.370697,84.72,76.82,77.08,75.0
CLBI03,Chile,Biobio,Arauco,,2020-07-19,0.0,-0.48454,0.31472,36.10653687,50982.43359,5778.646973,0.11334585,-73.39979553,-37.2883606,49.81994247,26.06347275,135.551651,84.72,76.82,77.08,75.0
CLBI30,Chile,Biobio,Talcahuano,,2020-07-19,0.0,,,1272.822144,166739.7031,19337.21289,0.11597246,-73.09939575,-36.71588516,3.623076916,3.062128305,23.50769234,84.72,76.82,77.08,75.0
CLBI31,Chile,Biobio,Tirua,,2020-07-19,0.0,,,13.6221962,12641.39746,1395.72522,0.1104091,-73.39461517,-38.29720688,109.8946228,22.32302094,148.9946289,84.72,76.82,77.08,75.0
CLBI32,Chile,Biobio,Tome,,2020-07-19,0.0,,,81.53342438,58540.99609,8654.113281,0.14782996,-72.85826874,-36.61703873,26.7952652,14.56878948,132.0139313,84.72,76.82,77.08,75.0
CLBI33,Chile,Biobio,Tucapel,,2020-07-19,0.0,,,10.80308628,14454.5293,2553.863037,0.17668255,-71.74533844,-37.22561646,137.224472,90.7237854,238.0608063,84.72,76.82,77.08,75.0
CLBI34,Chile,Biobio,Yumbel,,2020-07-19,0.0,,,19.39137459,20593.64063,3555.668945000001,0.17265859,-72.61585999,-37.0884819,41.81680679,15.237216,129.0481567,84.72,76.82,77.08,75.0
CLBI04,Chile,Biobio,Cabrero,,2020-07-19,0.0,,,38.65864563,36803.03125,4526.644043,0.1229965,-72.38162994,-37.06199265,40.24555969,13.09378147,93.56635284,84.72,76.82,77.08,75.0
CLBI05,Chile,Biobio,Canete,,2020-07-19,0.0,,,23.09134674,36969.24609,4791.815918,0.12961628,-73.31816101,-37.87363434,97.36147308,25.14683914,120.8674164,84.72,76.82,77.08,75.0
CLBI06,Chile,Biobio,Chiguayante,,2020-07-19,0.0,,,1791.95105,179195.0938,18445.91406,0.10293761,-73.00314331,-36.90002441,10.33663368,8.945715904,47.62376404,84.72,76.82,77.08,75.0
CLBI07,Chile,Biobio,Concepcion,,2020-07-19,0.0,-0.53708,0.40035,788.7560425,253979.4531,33028.47266,0.13004388,-72.95133972,-36.83440018,13.49843216,10.93179989,85.96551514,84.72,76.82,77.08,75.0
CLBI08,Chile,Biobio,Contulmo,,2020-07-19,0.0,,,4.670666218,4381.084961,681.1369018999999,0.15547219,-73.21191406,-38.05224991,101.7415619,23.93850136,145.6413574,84.72,76.82,77.08,75.0
CLBI09,Chile,Biobio,Coronel,,2020-07-19,0.0,,,303.4990234,123524.1016,13814.11523,0.11183336,-73.12709045,-37.00697327,23.83250046,14.67474842,65.73750305,84.72,76.82,77.08,75.0
CLCO01,Chile,Coquimbo,Andacollo,,2020-07-19,0.0,,,10.13963604,7026.767578,1017.774475,0.14484249,-71.10072327,-30.25891876,51.26483536,25.74769592,131.2648315,84.72,76.82,77.08,75.0
CLCO10,Chile,Coquimbo,Monte Patria,,2020-07-19,0.0,,,6.039937973,34524.28516,4525.40918,0.13107902,-70.65052032,-30.83463669,295.19378660000007,192.7184296,633.0907593,84.72,76.82,77.08,75.0
CLCO11,Chile,Coquimbo,Ovalle,,2020-07-19,0.0,,,26.99462509,129736.1719,16841.47852,0.12981328,-71.40535736,-30.67293549,51.67311859,46.16732407,389.3096008,84.72,76.82,77.08,75.0
CLCO12,Chile,Coquimbo,Paiguano,,2020-07-19,0.0,,,2.563265562,5252.131348,779.8604126,0.14848456,-70.37210846,-30.23431969,288.5359497,217.6156311,550.8880005,84.72,76.82,77.08,75.0
CLCO13,Chile,Coquimbo,Punitaqui,,2020-07-19,0.0,,,7.808655739,11595.85352,1788.8532710000004,0.15426663,-71.33301544,-30.94591522,72.71688843,57.84337234,475.4925537,84.72,76.82,77.08,75.0
CLCO14,Chile,Coquimbo,Rio Hurtado,,2020-07-19,0.0,,,1.35889101,4053.572021,800.7763062000001,0.19754831,-70.65381622,-30.43034744,207.6938629,160.60043330000005,674.9882812999998,84.72,76.82,77.08,75.0
CLCO15,Chile,Coquimbo,Salamanca,,2020-07-19,0.0,,,5.74116087,27172.91602,3594.388184000001,0.13227834,-70.66139221,-31.89330101,381.1027527,246.0960541,662.1867065,84.72,76.82,77.08,75.0
CLCO16,Chile,Coquimbo,Vicuna,,2020-07-19,0.0,,,2.9023451810000003,29577.79883,3707.379883,0.12534334,-70.38232422,-29.89195633,329.9275818,286.8478394,884.2728271,84.72,76.82,77.08,75.0
CLCO02,Chile,Coquimbo,Canela,,2020-07-19,0.0,,,2.538216352,7599.419922,1411.5466310000004,0.185744,-71.39444733,-31.40156937,106.9321518,53.11557007,485.394043,84.72,76.82,77.08,75.0
