id,admin0,admin1,admin2,admin3,date,cases,movement_fb,non_moving_fb,a_mean,mean_pop,sum_pop,o65_sum_pop,o65_perc_pop,long,lat,mean_city,mean_motor,mean_walk,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
CLAR29,Chile,Araucania,Tolten,,2020-05-29,1.0,,,34.8633879781,7.02493143081665,9012.9873046875,1340.35986328125,0.14871427,-73.065849,-39.217098,82.059563,29.989859000000006,174.4232,78.24,68.49,72.92,37.5
CLAR30,Chile,Araucania,Traiguen,,2020-05-29,0.0,,,61.7123493976,12.458272933959961,16656.7109375,2598.892333984375,0.15602674,-72.654938,-38.246597,61.712349,19.896944,145.39684,78.24,68.49,72.92,37.5
CLAR31,Chile,Araucania,Victoria,,2020-05-29,6.0,,,59.634328358199994,17.282220840454098,32335.03515625,4523.56298828125,0.13989665,-72.233032,-38.28051,59.616535,19.426785,146.63947,78.24,68.49,72.92,37.5
CLAR32,Chile,Araucania,Vilcun,,2020-05-29,13.0,,,61.4069877243,12.27871513366699,25944.92578125,3323.17138671875,0.1280856,-72.11640899999998,-38.704624,61.406986,36.934029,194.77573,78.24,68.49,72.92,37.5
CLAR33,Chile,Araucania,Villarrica,,2020-05-29,2.0,,,71.1085949563,43.15925598144531,75615.0234375,9250.546875,0.12233742,-72.183922,-39.301216,71.108536,20.68576,149.50566,78.24,68.49,72.92,37.5
CLAP1,Chile,Arica y Parinacota,Arica,,2020-05-29,71.0,-0.3104,0.28278000000000003,175.90952139400002,28.53623962402344,169219.90625,18686.00390625,0.11042438,-69.97222099999999,-18.532457,193.6586,120.75414,540.00928,78.24,68.49,72.92,37.5
CLAP2,Chile,Arica y Parinacota,Camarones,,2020-05-29,0.0,,,251.41082868400002,0.4942184388637543,2392.017333984375,366.375732421875,0.153166,-69.71515699999999,-18.937338,268.32745,169.24025,984.77954,78.24,68.49,72.92,37.5
CLAP4,Chile,Arica y Parinacota,General Lagos,,2020-05-29,0.0,,,212.62032667900002,0.4740230739116669,1310.199829101563,212.2397308349609,0.16199034,-69.57164,-17.830448,212.88837,116.92657,674.0932,78.24,68.49,72.92,37.5
CLAP5,Chile,Arica y Parinacota,Putre,,2020-05-29,0.0,,,279.29490358099997,0.1172405332326889,848.4697265625,152.9979553222656,0.18032223,-69.311485,-18.428013,279.31497,113.68156,462.33948,78.24,68.49,72.92,37.5
CLAT1,Chile,Atacama,Alto del Carmen,,2020-05-29,0.0,,,470.569931774,0.58433997631073,4805.02783203125,875.9134521484375,0.18229103,-70.156586,-28.990442,470.36676,323.26337,915.4361,78.24,68.49,72.92,37.5
CLAT2,Chile,Atacama,Caldera,,2020-05-29,1.0,,,47.574481327799994,3.305983304977417,15934.8388671875,1541.67626953125,0.096748784,-70.682198,-27.140207,114.70557,87.14608,521.88745,78.24,68.49,72.92,37.5
CLAT3,Chile,Atacama,Chanaral,,2020-05-29,1.0,,,175.309587217,1.548532247543335,11624.83203125,1323.345092773438,0.11383778,-70.33740999999999,-26.373245,183.44469,89.872421,527.12,78.24,68.49,72.92,37.5
