id,iso2,iso1_3n,iso1_3c,iso1_2c,iso2_uid,admin,admin0,admin1,admin2,admin3,level,mean,sum,sum_o65,perc_o65,centroid_longitude,centroid_latitude,mean_city,mean_motor,mean_walk,nameid
CLAT10,AT,152,CHL,CL,CL-AT,2,Chile,Atacama,Vallenar,,Municipality,4.7023363,45133.023,5697.1875,0.12623101,-70.603073,-28.594477,203.32397,107.99031,564.0672,"Atacama, Chile"
CLAT2,AT,152,CHL,CL,CL-AT,2,Chile,Atacama,Caldera,,Municipality,3.3059833,15934.839,1541.6763,0.096748784,-70.682198,-27.140207,114.70557,87.14608,521.88745,"Atacama, Chile"
CLAT3,AT,152,CHL,CL,CL-AT,2,Chile,Atacama,Chanaral,,Municipality,1.5485322,11624.832,1323.3451,0.11383778,-70.33741,-26.373245,183.44469,89.872421,527.12,"Atacama, Chile"
CLAT4,AT,152,CHL,CL,CL-AT,2,Chile,Atacama,Copiapo,,Municipality,9.0825338,212031.75,20828.928,0.098234944,-69.822731,-27.317051,230.30807,206.3831,1114.5049,"Atacama, Chile"
CLAT6,AT,152,CHL,CL,CL-AT,2,Chile,Atacama,Diego De Almagro,,Municipality,0.29172337,7207.6094,434.89597,0.060338449,-69.18824,-26.232994,753.71985,466.28943,1368.7675,"Atacama, Chile"
CLAT7,AT,152,CHL,CL,CL-AT,2,Chile,Atacama,Freirina,,Municipality,1.4686253,6300.4023,815.75043,0.12947592,-71.17907,-28.813934,199.28629,101.52362,534.17706,"Atacama, Chile"
CLAT8,AT,152,CHL,CL,CL-AT,2,Chile,Atacama,Huasco,,Municipality,3.7153585,7883.9907,994.2901,0.12611508,-71.029587,-28.250198,150.1201,87.070969,456.08368,"Atacama, Chile"
CLAT9,AT,152,CHL,CL,CL-AT,2,Chile,Atacama,Tierra Amarilla,,Municipality,1.0268829,15250.237,1235.3948,0.081008233,-69.670479,-27.863205,379.4675,285.08759,1361.5927,"Atacama, Chile"
CLBI1,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Alto Biobio,,Municipality,4.2196851,13207.614,1044.6361,0.079093479,-71.348831,-37.865452,247.15282,92.797211,293.72443,"Biobio, Chile"
CLBI10,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Curanilahue,,Municipality,19.771797,29123.857,3487.4509,0.1197455,-73.234398,-37.483047,77.636299,44.752384,218.94902,"Biobio, Chile"
CLBI12,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Florida,,Municipality,10.653006,9374.6455,1561.7953,0.1665978,-72.717651,-36.822178,28.632538,22.663759,241.07622,"Biobio, Chile"
CLBI13,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Hualpen,,Municipality,1190.4932,85715.508,10582.437,0.12346,-73.143326,-36.787552,3.7638888,5.8834476,49.25,"Biobio, Chile"
CLBI14,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Hualqui,,Municipality,38.472958,30124.326,4054.7773,0.13460143,-72.870125,-37.04417,28.692112,16.528666,114.76081,"Biobio, Chile"
CLBI15,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Laja,,Municipality,37.21452,18904.975,2380.4932,0.12591888,-72.582008,-37.312325,39.426613,20.158121,135.86693,"Biobio, Chile"
CLBI16,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Lebu,,Municipality,31.50518,26149.299,3138.5281,0.12002341,-73.590599,-37.677135,81.08168,27.203299,281.65594,"Biobio, Chile"
CLBI17,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Los Alamos,,Municipality,27.444023,24150.74,3069.7759,0.12710898,-73.356903,-37.673172,88.061226,40.960686,179.53629,"Biobio, Chile"
CLBI18,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Los Angeles,,Municipality,96.855553,247272.23,29631.402,0.11983312,-72.327492,-37.407475,22.441797,18.943546,149.85898,"Biobio, Chile"
CLBI19,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Lota,,Municipality,260.78214,44072.18,5376.7515,0.12199876,-73.105309,-37.11956,37.405884,27.880087,94.729408,"Biobio, Chile"
CLBI2,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Antuco,,Municipality,1.2581832,3566.9495,610.06335,0.17103224,-71.366577,-37.327755,249.72154,109.68674,505.79498,"Biobio, Chile"
CLBI20,BI,152,CHL,CL,CL-BI,2,Chile,Biobio,Mulchen,,Municipality,9.8224897,27856.58,4038.6279,0.14497931,-72.096687,-37.838402,112.98058,69.939987,295.2229,"Biobio, Chile"
