id,admin0,admin1,admin2,admin3,level,admin,iso2,iso1_3n,iso2_uid,iso1_3c,iso1_2c,nameid,mean,sum,sum_o65,perc_o65,centroid_longitude,centroid_latitude,mean_city,mean_motor,mean_walk
ECG0919,Ecuador,Guayas,Salitre,,canton,2,G,218,EC-G,ECU,EC,"Salitre, Guayas, Ecuador",149.3508445,68552.03762,5637.068201,0.082230501,-79.80273459,-1.805111071,32.12121212,17.70306693,110.3831169
ECG0920,Ecuador,Guayas,San Jacinto De Yaguachi,,canton,2,G,218,EC-G,ECU,EC,"San Jacinto De Yaguachi, Guayas, Ecuador",125.5678202,75842.96341,6653.270804,0.087724298,-79.74303914,-2.10273082,23.13689482,17.93040112,81.92487479
ECG0921,Ecuador,Guayas,Playas,,canton,2,G,218,EC-G,ECU,EC,"Playas, Guayas, Ecuador",146.7025816,46064.61062,3194.795778,0.069354668,-80.43820063,-2.556733444,69.45741325,33.09125897,161.1577287
ECG0922,Ecuador,Guayas,Simon Bolivar,,canton,2,G,218,EC-G,ECU,EC,"Simon Bolivar, Guayas, Ecuador",91.0839373,31332.87443,2323.154527,0.074144319,-79.40763265,-2.037261555,43.58550725,26.22423638,182.3855072
ECG0923,Ecuador,Guayas,Coronel Marcelino Mariduena,,canton,2,G,218,EC-G,ECU,EC,"Coronel Marcelino Mariduena, Guayas, Ecuador",51.80866204,15594.40727,1620.504549,0.10391575,-79.38207762,-2.239200659,37.75409836,22.19582578,135.4786885
ECG0924,Ecuador,Guayas,Lomas De Sargentillo,,canton,2,G,218,EC-G,ECU,EC,"Lomas De Sargentillo, Guayas, Ecuador",281.1321294,22209.43822,1635.555545,0.073642366,-80.08029322,-1.850180663,16.34210526,10.33868814,56.17105263
ECG0925,Ecuador,Guayas,Nobol,,canton,2,G,218,EC-G,ECU,EC,"Nobol, Guayas, Ecuador",156.7168248,25074.69197,1717.403211,0.068491496,-80.04944428,-1.965235415,33.59627329,30.18884721,128.0559006
ECG0927,Ecuador,Guayas,General Antonio Elizalde,,canton,2,G,218,EC-G,ECU,EC,"General Antonio Elizalde, Guayas, Ecuador",68.55437316,12339.78717,1062.671572,0.086117499,-79.20222772,-2.156293454,53.32222222,33.32011464,154.4166667
ECG0928,Ecuador,Guayas,Isidro Ayora,,canton,2,G,218,EC-G,ECU,EC,"Isidro Ayora, Guayas, Ecuador",23.94401435,13648.08818,904.2984595,0.066258252,-80.16256925,-1.962422045,65.20557491,35.61887784,121.3327526
ECH0601,Ecuador,Chimborazo,Riobamba,,canton,2,H,218,EC-H,ECU,EC,"Riobamba, Chimborazo, Ecuador",226.1597427,259857.5444,24919.34033,0.095896162,-78.77324101,-1.613301829,52.84031414,45.99650373,197.052356
